gen,elapsed_sec,evals_total,engine,metrics
71,0.1300218105316162,14400,"{'gen': 72, 'best_fitness': -0.6471825262758242, 'mean_fitness': -1.8798560122174666, 'pop_size': 200}",{}
72,0.13184785842895508,14600,"{'gen': 73, 'best_fitness': -0.5743275184699677, 'mean_fitness': -1.8841704886965556, 'pop_size': 200}",{}
73,0.1348278522491455,14800,"{'gen': 74, 'best_fitness': -0.8644475155792726, 'mean_fitness': -1.8609143829362949, 'pop_size': 200}",{}
74,0.13652873039245605,15000,"{'gen': 75, 'best_fitness': -0.7226502940787665, 'mean_fitness': -1.8693598501405952, 'pop_size': 200}",{}
75,0.13822484016418457,15200,"{'gen': 76, 'best_fitness': -0.7030521702357337, 'mean_fitness': -1.966286952063399, 'pop_size': 200}",{}
76,0.14003586769104004,15400,"{'gen': 77, 'best_fitness': -0.8360504867393365, 'mean_fitness': -2.019473885471436, 'pop_size': 200}",{}
77,0.14187288284301758,15600,"{'gen': 78, 'best_fitness': -0.5238988726350383, 'mean_fitness': -1.93840318451342, 'pop_size': 200}",{}
78,0.14369487762451172,15800,"{'gen': 79, 'best_fitness': -0.5670159742507009, 'mean_fitness': -1.8982020892004092, 'pop_size': 200}",{}
79,0.1455228328704834,16000,"{'gen': 80, 'best_fitness': -0.762388935824106, 'mean_fitness': -1.9351163887177134, 'pop_size': 200}",{}
80,0.14728879928588867,16200,"{'gen': 81, 'best_fitness': -0.7007176175615135, 'mean_fitness': -1.8943931087925008, 'pop_size': 200}",{}
81,0.14906597137451172,16400,"{'gen': 82, 'best_fitness': -0.5484476306855475, 'mean_fitness': -1.867217158689022, 'pop_size': 200}",{}
82,0.1509099006652832,16600,"{'gen': 83, 'best_fitness': -0.5907774340356263, 'mean_fitness': -1.8666643360527087, 'pop_size': 200}",{}
83,0.15275287628173828,16800,"{'gen': 84, 'best_fitness': -0.5715337561674436, 'mean_fitness': -1.8608963638066256, 'pop_size': 200}",{}
84,0.1546018123626709,17000,"{'gen': 85, 'best_fitness': -0.6197521825713916, 'mean_fitness': -1.876988707045249, 'pop_size': 200}",{}
85,0.15636682510375977,17200,"{'gen': 86, 'best_fitness': -0.8255027526362081, 'mean_fitness': -1.8334170972363462, 'pop_size': 200}",{}
86,0.15810775756835938,17400,"{'gen': 87, 'best_fitness': -0.7390220568645542, 'mean_fitness': -1.8289616385721388, 'pop_size': 200}",{}
87,0.15993785858154297,17600,"{'gen': 88, 'best_fitness': -0.7100766472219845, 'mean_fitness': -1.867281028645021, 'pop_size': 200}",{}
88,0.16176891326904297,17800,"{'gen': 89, 'best_fitness': -0.6840721626013229, 'mean_fitness': -1.791816707419156, 'pop_size': 200}",{}
89,0.16359663009643555,18000,"{'gen': 90, 'best_fitness': -0.7888875525158745, 'mean_fitness': -1.7374217431327699, 'pop_size': 200}",{}
90,0.16536593437194824,18200,"{'gen': 91, 'best_fitness': -0.826019653318978, 'mean_fitness': -1.783437872784428, 'pop_size': 200}",{}
91,0.1671140193939209,18400,"{'gen': 92, 'best_fitness': -0.8305081978219597, 'mean_fitness': -1.794591985864335, 'pop_size': 200}",{}
92,0.16893887519836426,18600,"{'gen': 93, 'best_fitness': -0.6099628395058819, 'mean_fitness': -1.7595729140023648, 'pop_size': 200}",{}
93,0.17077088356018066,18800,"{'gen': 94, 'best_fitness': -0.796066720370519, 'mean_fitness': -1.766632061690915, 'pop_size': 200}",{}
94,0.17260169982910156,19000,"{'gen': 95, 'best_fitness': -0.5812317274542871, 'mean_fitness': -1.738200626024684, 'pop_size': 200}",{}
95,0.17437076568603516,19200,"{'gen': 96, 'best_fitness': -0.5547224916108278, 'mean_fitness': -1.8126020999588563, 'pop_size': 200}",{}
96,0.17610907554626465,19400,"{'gen': 97, 'best_fitness': -0.5889609993482519, 'mean_fitness': -1.8737237418916397, 'pop_size': 200}",{}
97,0.1779346466064453,19600,"{'gen': 98, 'best_fitness': -0.6789312477050623, 'mean_fitness': -1.787119606403743, 'pop_size': 200}",{}
98,0.17975592613220215,19800,"{'gen': 99, 'best_fitness': -0.6283155136488805, 'mean_fitness': -1.8207556952211268, 'pop_size': 200}",{}
99,0.18157696723937988,20000,"{'gen': 100, 'best_fitness': -0.6099940198501876, 'mean_fitness': -1.8168218260305673, 'pop_size': 200}",{}
100,0.18339085578918457,20200,"{'gen': 101, 'best_fitness': -0.6431179964728713, 'mean_fitness': -1.739520663826247, 'pop_size': 200}",{}
101,0.18522191047668457,20400,"{'gen': 102, 'best_fitness': -0.7194716353741395, 'mean_fitness': -1.7688291324713563, 'pop_size': 200}",{}
102,0.18697786331176758,20600,"{'gen': 103, 'best_fitness': -0.6716935703244371, 'mean_fitness': -1.8380306521811565, 'pop_size': 200}",{}
103,0.1887979507446289,20800,"{'gen': 104, 'best_fitness': -0.6827473091596831, 'mean_fitness': -1.8537709104958566, 'pop_size': 200}",{}
104,0.19062280654907227,21000,"{'gen': 105, 'best_fitness': -0.7061666432603484, 'mean_fitness': -1.8693043652774446, 'pop_size': 200}",{}
105,0.1924448013305664,21200,"{'gen': 106, 'best_fitness': -0.8913253275164985, 'mean_fitness': -1.8916677025172317, 'pop_size': 200}",{}
106,0.19419169425964355,21400,"{'gen': 107, 'best_fitness': -0.7628199184038418, 'mean_fitness': -1.8804626459579543, 'pop_size': 200}",{}
107,0.19599676132202148,21600,"{'gen': 108, 'best_fitness': -0.7274006834547442, 'mean_fitness': -1.9149793616291952, 'pop_size': 200}",{}
